INSERT into jadwal (id_jadwal, tanggal) VALUES
('2705','2018-01-01'),
('4479','2022-10-07'),
('4514','2019-09-25'),
('6979','2016-11-28'),
('0869','2024-06-16'),
('9448','2016-05-01'),
('3483','2016-07-11'),
('2484','2019-02-09'),
('5076','2019-04-11'),
('4327','2020-05-28'),
('9748','2019-10-03'),
('0210','2018-11-21'),
('5104','2018-05-02'),
('0473','2025-01-23'),
('4789','2023-01-04'),
('6798','2023-01-10'),
('1939','2025-05-19'),
('8258','2017-09-13'),
('7156','2024-02-08'),
('9381','2020-12-16'),
('2327','2021-04-17'),
('4035','2022-12-22'),
('4400','2021-04-14'),
('1708','2020-12-02'),
('7046','2022-06-23'),
('2580','2021-07-31'),
('4026','2021-04-10'),
('7855','2018-12-17'),
('1046','2020-09-07'),
('4478','2019-08-30'),
('5929','2019-03-21'),
('2968','2020-04-17'),
('3387','2025-03-17'),
('1013','2016-02-28'),
('0182','2024-12-22'),
('4282','2016-11-19'),
('8535','2017-03-01'),
('8314','2025-11-26'),
('5624','2019-09-05'),
('5457','2020-11-15'),
('4942','2018-08-29'),
('7724','2024-07-09'),
('2191','2025-08-12'),
('5169','2020-11-01'),
('8915','2025-10-21'),
('3782','2017-10-03'),
('5647','2025-03-03'),
('5127','2022-08-07'),
('7538','2023-10-16'),
('7027','2017-11-01'),
('9426','2022-04-23'),
('9226','2016-07-04'),
('7253','2019-02-07'),
('9969','2023-08-27'),
('1263','2024-08-12'),
('2554','2017-06-19'),
('8741','2019-09-15'),
('1813','2021-04-14'),
('3361','2017-09-05'),
('0785','2021-07-17'),
('5073','2016-02-06'),
('7340','2018-02-20'),
('0438','2023-03-29'),
('0655','2022-04-02'),
('0261','2025-06-24'),
('0239','2018-04-08'),
('9191','2017-09-04'),
('4689','2024-02-04'),
('1288','2023-01-09'),
('5941','2018-02-24'),
('9327','2021-08-21'),
('6881','2019-07-02'),
('3133','2025-04-14'),
('2084','2024-02-23'),
('2454','2019-12-19'),
('2060','2016-09-30'),
('1691','2024-07-12'),
('1159','2020-04-24'),
('8829','2025-05-15'),
('2475','2016-01-05'),
('4642','2017-05-11'),
('7922','2024-11-15'),
('0260','2022-06-24'),
('9612','2019-07-06'),
('3946','2022-05-16'),
('4351','2025-10-02'),
('7974','2023-03-08'),
('6465','2019-12-13'),
('9622','2021-03-20'),
('7221','2016-05-31'),
('9313','2020-11-10'),
('8645','2016-12-26'),
('9967','2023-05-22'),
('7115','2018-10-11'),
('5538','2017-08-18'),
('0746','2019-01-07'),
('7580','2021-07-14'),
('2261','2017-04-28'),
('0174','2020-03-17'),
('5700','2018-06-17'),
('1493','2021-06-15'),
('6138','2017-07-24'),
('1092','2019-08-05'),
('6030','2018-08-26'),
('2553','2024-12-05'),
('7485','2023-11-21'),
('4806','2023-05-06'),
('0909','2016-07-03'),
('8150','2024-02-08'),
('4614','2017-05-17'),
('6516','2017-01-30'),
('1119','2022-03-31'),
('4592','2019-11-19'),
('7331','2023-06-19'),
('3497','2020-06-27'),
('3692','2018-05-24'),
('9197','2016-06-10'),
('9796','2024-03-13'),
('9500','2017-08-04'),
('6124','2024-01-09'),
('6283','2022-08-01'),
('0526','2018-11-16'),
('8988','2021-08-27'),
('6412','2024-04-04'),
('6254','2018-04-26'),
('4607','2018-03-14'),
('6709','2020-04-05'),
('5236','2018-04-06'),
('5616','2017-10-25'),
('0727','2019-01-25'),
('7473','2021-10-26'),
('6673','2025-07-19'),
('5940','2017-05-03'),
('6900','2017-03-03'),
('7912','2024-08-01'),
('3341','2023-11-08'),
('3036','2016-01-04'),
('7024','2016-07-25'),
('5910','2020-11-15'),
('4567','2017-02-04'),
('2204','2022-04-11'),
('9791','2016-04-18'),
('3989','2017-04-27'),
('6252','2020-12-17'),
('1380','2024-03-05'),
('7790','2025-07-28'),
('6445','2016-12-18'),
('8389','2017-02-23'),
('9385','2024-09-01'),
('1844','2016-05-22'),
('2098','2021-12-04'),
('4422','2018-04-03'),
('3461','2019-08-25'),
('2322','2023-11-25'),
('6657','2023-09-25'),
('0496','2021-09-17'),
('4972','2022-05-18'),
('8735','2019-03-11'),
('6046','2020-10-06'),
('8450','2018-05-21'),
('5231','2019-01-10'),
('2006','2017-09-28'),
('3013','2020-04-13'),
('5212','2019-04-20'),
('6427','2022-03-03'),
('6063','2021-07-07'),
('9829','2018-07-01'),
('5481','2019-05-14'),
('8177','2018-09-27'),
('9033','2017-08-29'),
('0850','2025-02-26'),
('0493','2021-06-15'),
('7351','2017-07-27'),
('4206','2023-04-05'),
('1880','2016-02-08'),
('6768','2017-05-13'),
('3057','2023-05-20'),
('3735','2017-01-06'),
('0989','2017-03-26'),
('4455','2024-09-09'),
('1522','2019-04-17'),
('9809','2018-06-25'),
('2832','2025-03-13'),
('4878','2020-06-13'),
('1786','2016-03-19'),
('3639','2018-11-10'),
('5831','2023-01-10'),
('6949','2025-06-04'),
('1191','2021-08-24'),
('8751','2016-04-20'),
('4420','2025-05-22'),
('4399','2025-05-17'),
('8331','2018-06-03'),
('9937','2018-10-21'),
('7274','2017-01-08'),
('1140','2018-10-23'),
('1990','2023-04-14'),
('8736','2018-09-13'),
('3911','2023-12-26'),
('5961','2020-05-11'),
('4425','2019-05-30'),
('3926','2019-04-11'),
('4906','2020-01-27'),
('9054','2023-08-28'),
('0875','2017-04-05'),
('7509','2021-01-23'),
('9427','2020-05-21'),
('3343','2025-10-18'),
('3271','2021-12-21'),
('3648','2025-03-21'),
('8278','2023-01-27'),
('0236','2023-05-01'),
('3689','2016-04-10'),
('9478','2017-09-27'),
('1836','2018-03-26'),
('3824','2019-10-29'),
('2067','2016-11-01'),
('6175','2022-04-18'),
('4262','2017-03-28'),
('4975','2025-02-06'),
('7762','2018-08-04'),
('8900','2023-06-28'),
('0689','2022-05-14'),
('7415','2019-08-01'),
('8768','2024-09-19'),
('9068','2019-03-12'),
('3143','2019-01-16'),
('6243','2016-09-03'),
('0678','2024-01-14'),
('5482','2018-06-26'),
('2561','2019-12-21'),
('4568','2025-08-22'),
('9922','2022-10-08'),
('1420','2020-12-15'),
('3672','2023-06-28'),
('8268','2022-02-09'),
('4164','2018-06-21'),
('0249','2020-11-23'),
('8659','2017-09-06'),
('1306','2016-06-12'),
('0602','2024-05-07'),
('8109','2017-06-18'),
('4755','2025-12-21'),
('1917','2021-03-16'),
('1316','2023-04-15'),
('5958','2021-02-19'),
('7782','2019-03-14'),
('5660','2023-01-12'),
('7078','2018-01-05'),
('6651','2024-09-14'),
('3612','2016-08-30'),
('1538','2021-04-16'),
('4108','2024-10-01'),
('7031','2022-08-17'),
('8974','2025-02-06'),
('3374','2020-04-29'),
('1176','2016-02-24'),
('5701','2020-09-03'),
('5080','2018-09-06'),
('1444','2023-07-21'),
('6737','2020-05-23'),
('8166','2022-04-02'),
('4952','2018-12-03'),
('7526','2016-06-25'),
('3577','2018-03-13'),
('1520','2019-07-31'),
('4245','2022-08-08'),
('3949','2022-06-21'),
('1482','2025-05-08'),
('2319','2020-12-26'),
('5777','2023-05-19'),
('7469','2019-03-24'),
('9003','2016-12-20'),
('5380','2019-01-28'),
('1577','2017-03-25'),
('8778','2016-08-23'),
('7075','2016-11-30'),
('2267','2022-08-02'),
('7665','2023-12-07'),
('0291','2024-01-02'),
('2216','2022-10-23'),
('9934','2022-11-20'),
('7648','2024-04-23'),
('4714','2024-04-02'),
('9844','2021-03-13'),
('7315','2025-06-07'),
('2473','2017-11-05'),
('0232','2018-09-17'),
('1840','2024-06-24'),
('4556','2024-04-18'),
('6663','2023-02-25'),
('2306','2024-10-22'),
('8228','2023-03-27'),
('1967','2024-07-22'),
('1767','2020-12-28'),
('4482','2024-09-20'),
('8626','2020-07-09'),
('0680','2019-01-28'),
('7606','2017-09-12'),
('8529','2021-03-16'),
('6319','2022-11-12'),
('7243','2016-12-24'),
('6528','2025-05-03'),
('6494','2019-09-12'),
('9055','2024-04-04'),
('2062','2021-05-24'),
('6529','2020-06-11'),
('2493','2023-07-01'),
('6026','2019-09-13'),
('6766','2017-08-24'),
('6394','2023-11-23'),
('2142','2018-12-05'),
('3525','2024-08-09'),
('2827','2021-03-29'),
('5275','2019-07-02'),
('6996','2019-06-19'),
('0426','2016-11-02'),
('4738','2017-02-22'),
('7559','2025-02-24'),
('6815','2020-03-08'),
('8868','2018-12-13'),
('6265','2022-09-28'),
('0998','2017-10-15'),
('9860','2024-03-10'),
('0632','2025-04-23'),
('7289','2025-09-20'),
('9601','2018-04-10'),
('7369','2022-10-03'),
('0753','2018-03-31'),
('4932','2017-04-24'),
('6491','2022-04-03'),
('4510','2017-12-06'),
('4033','2018-06-17'),
('3140','2016-05-07'),
('6544','2021-06-14'),
('5322','2025-01-03'),
('6721','2023-01-04'),
('2321','2018-12-22'),
('3603','2017-01-15'),
('4488','2022-07-08'),
('0878','2023-05-31'),
('7780','2017-03-12'),
('5858','2019-08-18'),
('2467','2016-09-08'),
('8365','2020-11-05'),
('4545','2022-12-18'),
('6583','2022-11-02'),
('7190','2019-07-19'),
('6003','2020-04-11'),
('4569','2022-03-04'),
('5842','2022-09-05'),
('9704','2017-04-07'),
('3417','2025-02-24'),
('6991','2022-07-17'),
('5433','2025-01-08'),
('3925','2025-10-19'),
('0207','2020-09-06'),
('3384','2018-06-25'),
('0520','2018-01-30'),
('6500','2021-09-03'),
('3716','2018-12-22'),
('3625','2020-08-15'),
('2994','2021-07-05'),
('2617','2017-05-31'),
('9311','2022-06-04'),
('9691','2024-10-26'),
('4865','2017-02-12'),
('0704','2018-11-11'),
('1546','2016-12-14'),
('6000','2016-08-02'),
('0686','2020-03-12'),
('9202','2017-01-04'),
('5723','2017-12-14'),
('8025','2018-02-20'),
('9637','2020-10-23'),
('0460','2019-05-30'),
('5311','2018-06-03'),
('3636','2022-07-16'),
('9581','2025-08-24'),
('4583','2016-08-16'),
('0375','2017-10-17'),
('3518','2017-01-13'),
('6305','2016-11-03'),
('9464','2019-10-22'),
('8804','2018-02-24'),
('0546','2016-02-04'),
('3385','2018-10-16'),
('8116','2021-02-06'),
('1244','2020-07-14'),
('4891','2018-04-10'),
('9103','2025-12-01'),
('5720','2023-03-22'),
('6573','2025-10-07'),
('1959','2016-07-13'),
('3453','2016-09-24'),
('4869','2023-06-22'),
('2684','2019-10-31'),
('6359','2020-10-24'),
('4938','2023-01-28'),
('8782','2016-09-13'),
('9616','2022-05-25'),
('5097','2018-02-06'),
('4615','2020-01-17'),
('1407','2023-09-18'),
('4360','2023-08-30'),
('2246','2023-03-23'),
('6824','2022-10-15'),
('4303','2024-11-25'),
('2935','2024-11-08'),
('2253','2024-09-01'),
('0201','2023-08-26'),
('8402','2017-11-28'),
('1310','2024-03-05'),
('1921','2024-03-08'),
('1946','2021-01-05'),
('3422','2023-11-09'),
('3939','2022-10-02'),
('0066','2022-05-06'),
('3076','2016-08-16'),
('1500','2020-05-03'),
('0023','2021-10-30'),
('0256','2024-08-02'),
('6939','2019-12-13'),
('8327','2018-03-29'),
('1845','2022-08-01'),
('8690','2024-12-10'),
('0170','2020-01-01'),
('9386','2016-04-15'),
('8348','2021-12-17'),
('4181','2025-11-24'),
('5124','2017-12-21'),
('8919','2024-06-23'),
('0965','2021-05-22'),
('6942','2017-05-13'),
('9952','2023-02-21'),
('9754','2024-01-30'),
('0406','2017-12-17'),
('6558','2024-12-20'),
('5375','2022-03-27'),
('5472','2021-08-03'),
('6032','2020-11-16'),
('1699','2018-11-09'),
('6091','2024-11-20'),
('3976','2022-10-08'),
('8679','2021-09-17'),
('9319','2025-05-02'),
('6859','2017-06-04'),
('9159','2017-02-15'),
('8121','2017-08-03'),
('3198','2016-04-10'),
('1413','2025-03-28'),
('4209','2021-12-01'),
('9224','2025-07-15'),
('9181','2020-03-22'),
('1267','2024-07-29'),
('2880','2022-06-16'),
('3545','2025-05-24'),
('8167','2024-06-21'),
('7863','2017-07-15'),
('8598','2016-12-21'),
('2555','2019-09-18'),
('1515','2021-07-22'),
('0488','2019-01-21'),
('3845','2018-01-05'),
('9235','2019-08-28'),
('9729','2017-03-12'),
('8414','2021-02-12'),
('0838','2020-12-30'),
('0963','2016-04-07'),
('7590','2024-03-18'),
('0454','2019-08-31'),
('4803','2021-07-13'),
('0568','2016-06-23'),
('8839','2021-05-13'),
('2503','2024-02-13'),
('7158','2023-04-19'),
('4602','2022-07-06'),
('6875','2018-03-29'),
('3711','2016-12-05'),
('1445','2022-03-05'),
('4564','2022-05-15'),
